date,value
12/2/2000,52.4835701
12/3/2000,49.35274887
12/4/2000,53.31473541
12/5/2000,57.71182251
12/6/2000,48.93444443
12/7/2000,48.9312439
12/8/2000,57.9828949
12/9/2000,53.89712524
12/10/2000,47.67393112
12/11/2000,52.68370819
12/12/2000,47.59171677
12/13/2000,47.50637436
12/14/2000,50.95941544
12/15/2000,40.08617783
12/16/2000,40.91941452
12/17/2000,46.61247253
12/18/2000,44.22820663
12/19/2000,50.72064209
12/20/2000,44.45498276
12/21/2000,41.76799011
12/22/2000,55.98093796
12/23/2000,47.3358345
12/24/2000,48.60329819
12/25/2000,40.93183899
12/26/2000,45.11265945
12/27/2000,48.15731812
12/28/2000,41.60509872
12/29/2000,48.98523331
12/30/2000,43.83963394
12/31/2000,45.10993576
1/1/2001,43.27504349
1/2/2001,55.24983215
1/3/2001,45.61561203
1/4/2001,40.07910538
1/5/2001,49.15495682
1/6/2001,38.60270309
1/7/2001,45.40616226
1/8/2001,34.20876694
1/9/2001,37.00193024
1/10/2001,44.25350952
1/11/2001,46.57859421
1/12/2001,43.35100937
1/13/2001,41.51481247
1/14/2001,40.1775322
1/15/2001,33.87169266
1/16/2001,37.23771286
1/17/2001,38.09790802
1/18/2001,45.24254608
1/19/2001,41.22268295
1/20/2001,30.22901535
1/21/2001,40.1963768
1/22/2001,36.17456436
1/23/2001,34.23181534
1/24/2001,40.18383789
1/25/2001,41.78223038
1/26/2001,40.77832413
1/27/2001,31.41360855
1/28/2001,33.54463577
1/29/2001,36.22143173
1/30/2001,38.91083527
1/31/2001,31.09898186
2/1/2001,32.02223587
2/2/2001,26.86863136
2/3/2001,25.86333275
2/4/2001,35.3455162
2/5/2001,37.4972496
2/6/2001,29.78398514
2/7/2001,34.58469391
2/8/2001,30.793396
2/9/2001,25.17318916
2/10/2001,29.61490822
2/11/2001,34.90300751
2/12/2001,26.43455124
2/13/2001,33.83389664
2/14/2001,12.30528927
2/15/2001,28.90338707
2/16/2001,24.61570549
2/17/2001,22.06895065
2/18/2001,23.40342903
2/19/2001,12.38474178
2/20/2001,20.59969902
2/21/2001,22.85682106
2/22/2001,27.83184624
2/23/2001,17.22026062
2/24/2001,15.13670063
2/25/2001,16.0364666
2/26/2001,22.4870739
2/27/2001,18.91756058
2/28/2001,13.98787975
3/1/2001,18.5652256
3/2/2001,15.84602928
3/3/2001,19.56536674
3/4/2001,10.57332325
3/5/2001,11.80687809
3/6/2001,10.84660721
3/7/2001,4.85208559
3/8/2001,13.01354504
3/9/2001,12.20247173
3/10/2001,10.28818035
3/11/2001,8.456475258
3/12/2001,1.920929909
3/13/2001,6.264708519
3/14/2001,6.026490211
3/15/2001,3.102989674
3/16/2001,5.684642315
3/17/2001,7.890594482
3/18/2001,14.68332291
3/19/2001,5.510314465
3/20/2001,5.313378334
3/21/2001,3.044974327
3/22/2001,-6.781511307
3/23/2001,2.078673363
3/24/2001,1.915256262
3/25/2001,13.33730888
3/26/2001,-0.529372633
3/27/2001,1.356026173
3/28/2001,-0.904705644
3/29/2001,-7.149067402
3/30/2001,3.838982582
3/31/2001,1.320356965
4/1/2001,0.957114756
4/2/2001,-8.098090172
4/3/2001,2.91552949
4/4/2001,-11.64901257
4/5/2001,-2.240624189
4/6/2001,5.248558044
4/7/2001,-11.17871571
4/8/2001,-9.573151588
4/9/2001,-6.752202988
4/10/2001,-10.26962662
4/11/2001,-16.00017357
4/12/2001,-8.391325951
4/13/2001,-14.52544117
4/14/2001,-7.318101406
4/15/2001,-14.74751568
4/16/2001,-2.857105255
4/17/2001,-14.97132015
4/18/2001,-13.10537338
4/19/2001,-7.859101295
4/20/2001,-18.50408745
4/21/2001,-11.6268568
4/22/2001,-6.634021282
4/23/2001,-21.60377502
4/24/2001,-13.0307188
4/25/2001,-13.03278923
4/26/2001,-10.79206562
4/27/2001,23.16301346
4/28/2001,22.6968689
4/29/2001,31.86104774
4/30/2001,30.68925858
5/1/2001,30.41057968
5/2/2001,30.84493065
5/3/2001,25.66791916
5/4/2001,30.18544006
5/5/2001,30.44643402
5/6/2001,25.36697197
5/7/2001,38.22601318
5/8/2001,31.2254734
5/9/2001,22.85969734
5/10/2001,32.05963135
5/11/2001,23.86482811
5/12/2001,32.63576126
5/13/2001,34.45613861
5/14/2001,24.52328682
5/15/2001,33.40782166
5/16/2001,30.61978722
5/17/2001,32.63182449
5/18/2001,37.97182083
5/19/2001,27.22793579
5/20/2001,24.6538887
5/21/2001,23.943367
5/22/2001,24.28092575
5/23/2001,27.94416809
5/24/2001,30.00579643
5/25/2001,29.65450096
5/26/2001,32.37862015
5/27/2001,28.28001022
5/28/2001,35.45560455
5/29/2001,26.83821487
5/30/2001,41.73653412
5/31/2001,31.23883438
6/1/2001,23.80013657
6/2/2001,22.70750046
6/3/2001,30.45096588
