memMemberNo,Gender,Age,StartDate,BMI,Freq
1,F,83,9/04/2014,NA,14
2,F,19,5/02/2014,NA,1
3,F,79,19/02/2015,NA,1
4,F,42,3/06/2014,NA,5
5,F,21,5/02/2014,NA,1
6,F,55,10/12/2014,NA,18
7,M,45,5/02/2014,NA,10
8,M,31,5/02/2014,NA,2
9,F,85,23/04/2015,23.9,1
10,F,48,4/03/2014,NA,17
11,F,78,28/06/2015,21.14,2
12,M,81,6/10/2013,NA,56
13,F,64,23/09/2013,NA,71
14,F,74,29/05/2014,NA,4
15,F,57,7/10/2013,NA,17
16,F,52,29/07/2015,NA,1
17,F,79,3/03/2014,NA,1
18,M,85,24/09/2013,NA,1
19,F,69,11/01/2014,NA,82
20,M,70,26/09/2013,NA,63
21,F,53,4/03/2014,NA,17
22,F,78,9/09/2013,NA,35
23,F,72,11/09/2013,NA,10
24,M,77,5/11/2013,NA,4
25,M,51,27/09/2013,NA,1
26,F,84,9/11/2015,NA,2
27,F,75,11/03/2015,NA,112
28,M,46,26/08/2014,NA,7
29,F,63,17/01/2014,NA,3
30,F,76,25/09/2015,NA,2
31,F,53,27/10/2013,NA,3
32,M,72,19/09/2013,NA,76
33,M,72,4/10/2013,NA,1
34,F,71,4/10/2013,NA,2
35,F,85,30/09/2013,NA,72
36,M,42,1/11/2013,NA,2
37,F,44,10/10/2013,NA,1
38,F,88,11/11/2013,NA,1
39,F,40,8/09/2015,NA,5
40,F,80,12/11/2013,NA,1
41,F,65,7/01/2014,NA,14
42,M,67,14/04/2015,NA,4
43,F,53,11/10/2013,NA,7
44,M,85,1/11/2013,NA,6
45,F,66,27/09/2013,NA,16
46,M,79,19/11/2014,NA,5
47,F,51,6/10/2014,NA,5
48,M,52,27/10/2013,NA,31
49,F,80,16/04/2014,NA,10
50,M,69,17/10/2013,NA,25
51,F,69,17/10/2013,NA,22
52,M,86,10/04/2015,NA,13
53,M,78,11/09/2013,NA,11
54,F,80,11/09/2013,NA,9
55,F,66,4/01/2016,26.29,6
56,M,70,25/09/2014,NA,1
57,F,50,14/09/2013,NA,2
58,F,51,10/10/2013,NA,8
59,M,66,12/09/2013,NA,53
60,F,76,5/01/2014,NA,12
61,F,50,12/09/2013,NA,87
62,M,86,17/08/2015,NA,54
63,M,81,14/10/2013,NA,4
64,M,77,30/12/2013,NA,7
65,M,82,10/12/2013,NA,106
66,M,76,3/10/2013,NA,81
67,F,73,18/05/2015,23.9,5
68,F,83,20/09/2013,NA,103
69,F,73,9/10/2013,NA,1
70,M,78,16/10/2013,NA,23
71,F,67,16/10/2013,NA,55
72,F,83,29/07/2015,NA,3
73,F,81,17/11/2013,NA,5
74,F,77,4/11/2013,NA,75
75,M,82,4/10/2013,NA,23
76,M,80,25/10/2013,NA,22
77,F,55,12/05/2014,NA,1
78,M,79,27/01/2014,NA,2
79,F,80,5/10/2015,NA,4
80,F,64,7/11/2013,NA,1
81,F,52,26/08/2014,NA,19
82,M,79,2/12/2013,NA,2
83,M,86,3/07/2014,NA,62
84,F,78,2/01/2014,NA,14
85,F,62,20/02/2014,NA,3
86,M,81,17/03/2014,NA,67
87,F,83,17/03/2014,NA,2
88,M,44,28/01/2014,NA,13
89,F,54,21/07/2014,NA,24
90,F,76,20/10/2015,NA,1
91,F,56,19/09/2013,NA,148
92,M,56,19/09/2013,NA,52
93,F,65,22/09/2014,NA,5
94,F,60,25/09/2013,NA,115
95,F,59,3/10/2013,NA,1
96,M,82,17/01/2015,NA,43
97,M,83,10/10/2013,NA,32
98,F,61,1/11/2013,NA,5
99,F,75,29/10/2013,NA,14
100,F,78,4/11/2013,NA,1
101,F,79,7/03/2014,NA,6
102,F,83,4/02/2016,NA,1
103,F,41,22/01/2014,NA,1
104,F,73,31/12/2014,NA,5
105,F,80,9/10/2013,NA,23
106,M,53,13/09/2014,NA,4
107,F,49,30/03/2015,NA,50
108,M,66,18/09/2013,NA,30
109,M,85,24/11/2013,NA,53
110,F,84,22/10/2013,NA,53
111,M,80,22/01/2014,NA,31
112,M,89,10/10/2013,NA,59
113,F,53,17/01/2015,NA,21
114,M,77,27/09/2013,NA,13
115,M,45,13/03/2014,NA,4
116,F,64,25/01/2015,NA,5
117,F,83,19/09/2013,NA,11
118,F,49,25/09/2013,NA,3
119,F,50,3/10/2013,NA,12
120,F,72,8/11/2013,NA,12
121,F,79,14/11/2013,NA,44
122,F,72,10/06/2014,NA,19
123,M,67,8/10/2014,NA,1
124,F,77,27/12/2013,NA,38
125,F,71,26/03/2014,NA,34
126,M,80,14/10/2013,NA,4
127,M,83,19/11/2013,NA,27
128,F,62,6/05/2014,NA,6
129,M,82,17/04/2014,NA,17
130,F,80,30/01/2014,NA,5
131,F,70,8/10/2013,NA,42
132,M,44,24/09/2013,NA,100
133,F,46,24/09/2013,NA,103
134,M,78,31/01/2014,NA,45
135,F,56,27/10/2013,NA,2
136,F,83,23/05/2015,27.29,1
137,M,46,2/03/2015,NA,2
138,F,47,16/01/2015,NA,1
139,F,77,3/10/2013,NA,52
140,M,63,3/03/2015,NA,6
141,F,83,7/09/2015,28.68,32
142,F,72,8/11/2013,NA,8
143,F,78,21/01/2014,NA,6
144,F,66,16/02/2014,NA,12
145,F,62,20/10/2013,NA,3
146,F,49,15/01/2014,NA,1
147,M,62,3/03/2014,NA,276
