Chaser,TeamScore,ChaserScore,TimeLeft,Win
1,Mark,18,18,(0:07),0
2,Shaun,20,20,(0:02),0
3,Mark,22,22,(0:08),0
4,Shaun,20,14,,1
5,Shaun,14,14,(0:24),0
6,Mark,20,19,,1
7,Mark,19,19,(0:05),0
8,Shaun,24,22,,1
9,Shaun,17,17,(0:34),0
10,Mark,12,12,(0:47),0
11,Shaun,19,19,(0:17),0
12,Mark,23,23,(0:10),0
13,Mark,14,14,(0:35),0
14,Shaun,25,23,,1
15,Anne,21,21,(0:22),0
16,Mark,22,16,,1
17,Anne,21,21,(0:19),0
18,Shaun,22,22,(0:01),0
19,Mark,14,14,(0:33),0
20,Anne,21,17,,1
21,Shaun,14,14,(0:30),0
22,Mark,26,26,(0:03),0
23,Anne,8,8,(1:27),0
24,Mark,22,21,,1
25,Mark,15,15,(0:56),0
26,Shaun,16,16,(0:37),0
27,Mark,23,23,(0:09),0
28,Anne,18,18,(0:38),0
29,Mark,28,27,,1
30,Shaun,14,14,(0:41),0
31,Anne,18,18,(0:28),0
32,Mark,24,23,,1
33,Shaun,21,21,(0:00),0
34,Anne,24,23,,1
35,Shaun,23,23,(0:22),0
36,Anne,16,16,(0:29),0
37,Mark,21,18,,1
38,Shaun,24,22,,1
39,Shaun,18,18,(0:41),0
40,Mark,15,15,(0:56),0
41,Anne,18,18,(0:12),0
42,Mark,16,16,(0:55),0
43,Anne,20,20,(0:15),0
44,Anne,12,12,(0:57),0
45,Anne,24,19,,1
46,Shaun,22,22,(0:08),0
47,Mark,16,16,(0:44),0
48,Shaun,21,21,(0:12),0
49,Mark,19,19,(0:14),0
50,Shaun,20,20,(0:23),0
51,Mark,20,20,(0:30),0
52,Anne,21,21,(0:32),0
53,Shaun,23,23,(0:13),0
54,Mark,24,23,,1
55,Anne,19,19,(0:15),0
56,Mark,21,21,(0:20),0
57,Shaun,19,19,(0:13),0
58,Anne,15,15,(0:41),0
59,Mark,25,24,,1
60,Anne,23,23,(0:16),0
61,Shaun,20,19,,1
62,Mark,22,22,(0:15),0
63,Anne,21,21,(0:31),0
64,Shaun,15,15,(0:54),0
65,Mark,18,18,(0:36),0
66,Anne,26,26,(0:09),0
67,Mark,12,12,(1:07),0
68,Mark,18,14,,1
69,Shaun,27,15,,1
70,Mark,23,23,(0:06),0
71,Anne,19,19,(0:21),0
72,Shaun,25,23,,1
73,Mark,15,15,(0:39),0
74,Anne,11,11,(1:01),0
75,Shaun,15,15,(0:50),0
76,Mark,26,24,,1
77,Anne,15,15,(0:41),0
78,Mark,19,19,(0:38),0
79,Shaun,23,23,(0:01),0
80,Anne,25,25,(0:08),0
81,Shaun,19,19,(0:02),0
82,Anne,25,22,,1
83,Mark,17,17,(0:18),0
84,Anne,19,19,(0:40),0
85,Shaun,15,15,(1:00),0
86,Mark,17,17,(0:39),0
87,Anne,18,18,(0:29),0
88,Shaun,19,18,,1
89,Mark,18,18,(0:41),0
90,Shaun,21,21,(0:21),0
91,Anne,20,20,(0:30),0
92,Mark,22,22,(0:06),0
93,Shaun,22,9,,1
94,Paul,20,20,(0:34),0
95,Mark,16,16,(0:57),0
96,Anne,23,23,(0:04),0
97,Mark,15,15,(0:04),0
98,Shaun,13,13,(0:34),0
99,Anne,22,20,,1
100,Paul,18,18,(0:07),0
101,Mark,23,23,(0:09),0
102,Paul,19,19,(0:10),0
103,Anne,18,18,(0:38),0
104,Mark,16,16,(0:45),0
105,Shaun,18,15,,1
106,Mark,15,15,(0:29),0
107,Paul,18,18,(0:23),0
108,Anne,22,22,(0:07),0
109,Mark,26,21,,1
110,Shaun,14,14,(0:52),0
111,Anne,19,19,(0:33),0
112,Paul,23,20,,1
113,Mark,22,22,(0:32),0
114,Shaun,16,16,(0:02),0
115,Anne,19,19,(0:11),0
116,Paul,15,15,(0:23),0
117,Shaun,22,14,,1
118,Mark,11,11,(1:17),0
119,Anne,18,18,(0:22),0
120,Mark,23,23,(0:12),0
121,Anne,21,18,,1
122,Paul,21,21,(0:27),0
123,Mark,13,13,(0:56),0
124,Anne,18,18,(0:10),0
125,Paul,26,18,,1
126,Shaun,13,13,(0:02),0
127,Paul,20,20,(0:07),0
128,Anne,20,15,,1
129,Mark,12,12,(0:58),0
130,Anne,11,11,(1:13),0
131,Mark,13,13,(0:19),0
132,Paul,16,16,(0:46),0
133,Anne,22,15,,1
134,Mark,20,20,(0:06),0
135,Shaun,19,19,(0:30),0
136,Paul,17,17,(0:45),0
137,Shaun,25,22,,1
138,Mark,15,15,(0:25),0
139,Anne,17,15,,1
140,Paul,18,18,(0:34),0
141,Shaun,11,11,(0:55),0
142,Mark,19,18,,1
143,Anne,19,19,(0:26),0
144,Paul,17,17,(0:24),0
145,Mark,12,12,(1:16),0
146,Shaun,19,18,,1
147,Anne,20,20,(0:15),0
148,Mark,14,14,(0:33),0
149,Paul,21,17,,1
150,Anne,16,16,(0:15),0
151,Mark,20,20,(0:25),0
152,Shaun,20,20,(0:02),0
153,Paul,19,19,(0:16),0
154,Mark,22,21,,1
155,Anne,16,16,(0:26),0
156,Shaun,13,13,(0:53),0
157,Mark,20,20,(0:18),0
158,Paul,18,17,,1
159,Anne,16,16,(0:01),0
160,Mark,24,24,(0:05),0
161,Anne,21,19,,1
162,Mark,20,20,(0:08),0
163,Paul,22,22,(0:30),0
164,Anne,15,15,(0:16),0
165,Paul,17,17,(0:28),0
166,Mark,23,20,,1
167,Anne,21,21,(0:05),0
168,Mark,19,19,(0:34),0
169,Mark,19,19,(0:13),0
170,Anne,21,21,(0:36),0
171,Paul,21,20,,1
172,Mark,22,22,(0:16),0
173,Shaun,15,15,(0:33),0
174,Anne,20,18,,1
175,Paul,19,19,(0:14),0
176,Shaun,23,23,(0:01),0
177,Mark,18,18,(0:08),0
178,Paul,19,19,(0:18),0
179,Anne,20,20,(0:04),0
180,Mark,20,20,(0:11),0
181,Paul,28,27,,1
182,Shaun,16,16,(0:25),0
183,Anne,15,15,(0:13),0
184,Paul,19,19,(0:25),0
185,Anne,21,21,(0:12),0
186,Paul,21,21,(0:06),0
187,Mark,17,14,,1
188,Anne,17,17,(0:37),0
189,Shaun,17,17,(0:17),0
190,Shaun,18,18,(0:26),0
191,Shaun,19,19,(0:11),0
192,Paul,14,14,(0:58),0
193,Anne,19,14,,1
194,Shaun,12,12,(1:07),0
195,Paul,15,14,,1
196,Shaun,14,14,(0:38),0
197,Mark,16,16,(0:36),0
198,Paul,21,21,(0:07),0
199,Shaun,26,24,,1
200,Mark,20,20,(0:06),0
201,Paul,19,19,(0:10),0
202,Mark,12,12,(1:13),0
203,Shaun,23,21,,1
204,Anne,20,20,(0:11),0
205,Shaun,21,16,,1
206,Shaun,15,13,,1
207,Paul,18,18,(0:48),0
208,Shaun,18,18,(0:03),0
209,Anne,19,19,(0:22),0
210,Anne,19,19,(0:36),0
211,Shaun,15,15,(0:46),0
212,Mark,20,17,,1
213,Paul,24,24,(0:25),0
214,Anne,21,21,(0:21),0
215,Shaun,16,16,(0:13),0
216,Anne,15,15,(0:26),0
217,Paul,24,21,,1
218,Shaun,20,16,,1
219,Mark,20,20,(0:36),0
220,Paul,16,16,(0:50),0
221,Mark,15,15,(1:02),0
222,Anne,15,15,(0:30),0
223,Shaun,17,16,,1
224,Mark,20,20,(0:24),0
225,Shaun,17,17,(0:32),0
226,Anne,17,17,(0:21),0
227,Paul,20,18,,1
228,Anne,20,20,(0:06),0
229,Anne,16,16,(0:38),0
230,Mark,12,12,(1:10),0
231,Anne,21,21,(0:17),0
232,Paul,19,19,(0:04),0
233,Anne,23,18,,1
234,Shaun,21,21,(0:06),0
235,Paul,18,18,(0:12),0
236,Mark,21,18,,1
237,Anne,12,12,(0:20),0
238,Shaun,23,21,,1
239,Paul,19,19,(0:14),0
240,Shaun,18,15,,1
241,Anne,10,10,(1:22),0
242,Paul,15,15,(0:41),0
243,Shaun,20,20,(0:05),0
244,Mark,18,18,(0:31),0
245,Shaun,17,17,(0:24),0
246,Mark,21,16,,1
247,Anne,17,17,(0:46),0
248,Paul,17,17,(0:54),0
249,Mark,16,16,(0:26),0
250,Paul,18,18,(0:20),0
251,Anne,22,17,,1
252,Shaun,19,19,(0:14),0
253,Paul,19,19,(0:34),0
254,Shaun,14,8,,1
255,Paul,17,17,(0:14),0
256,Shaun,20,19,,1
257,Anne,18,18,(0:27),0
258,Paul,19,17,,1
259,Mark,12,12,(0:52),0
260,Shaun,13,13,(1:09),0
261,Anne,23,22,,1
262,Paul,16,16,(0:15),0
263,Shaun,25,18,,1
264,Paul,17,17,(0:07),0
265,Mark,17,13,,1
266,Anne,16,16,(0:21),0
267,Mark,15,15,(0:49),0
268,Mark,20,19,,1
269,Anne,15,12,,1
270,Mark,19,19,(0:36),0
271,Mark,22,18,,1
272,Paul,17,17,(0:02),0
273,Anne,18,18,(0:24),0
274,Shaun,17,11,,1
275,Mark,15,15,(0:57),0
276,Anne,17,17,(0:28),0
277,Shaun,18,18,(0:12),0
278,Mark,10,10,(1:16),0
279,Shaun,18,18,(0:13),0
280,Paul,15,15,(0:40),0
281,Mark,14,14,(1:01)`,0
282,Anne,16,16,(0:18),0
283,Shaun,19,19,(0:07,0
284,Mark,21,18,,1
285,Paul,14,14,(0:19),0
286,Anne,18,18,(0:36),0
287,Paul,16,16,(0:19),0
288,Mark,1,19,17,0
289,Shaun,20,15,,1
290,Mark,9,9,(1:14),0
291,Paul,17,17,(0:23),0
292,Anne,18,18,(0:45),0
293,Shaun,15,15,(0:45),0
294,Mark,7,7,(1:33),0
295,Anne,19,16,,1
296,Shaun,18,18,(0:12),0
297,Anne,12,12,(1:05),0
298,Paul,20,19,,1
299,Mark,22,22,(0:01),0
300,Anne,16,16,(0:22),0
301,Shaun,18,18,(0:26),0
302,Paul,14,14,(0:55),0
303,Mark,23,15,,1
304,Anne,20,20,(0:23),0
305,Shaun,14,11,,1
306,Paul,16,16,(0:44),0
307,Anne,20,19,,1
308,Shaun,15,15,(0:46),0
309,Mark,17,17,(0:17),0
310,Paul,16,15,,1
311,Anne,14,14,(0:48),0
312,Anne,14,14,(0:22),0
313,Mark,20,16,,1
314,Shaun,19,19,(0:11),0
315,Mark,15,14,,1
316,Anne,22,22,(0:14),0
317,Shaun,13,13,(0:16),0
318,Paul,15,15,(0:04),0
319,Paul,14,14,(0:50),0
320,Anne,11,11,(1:14),0
321,Shaun,22,15,,1
322,Paul,16,16,(0:39),0
323,Mark,15,15,(0:55),0
324,Anne,15,15,(0:43),0
325,Shaun,19,19,(0:15),0
326,Mark,14,14,(0:26),0
327,Anne,18,17,,1
328,Paul,11,11,(0:59),0
329,Mark,21,21,(0:11),0
330,Shaun,17,13,,1
331,Paul,12,12,(0:41),0
332,Anne,17,17,(0:31),0
333,Shaun,15,15,(0:28),0
334,Paul,15,15,(0:20),0
335,Mark,12,12,(0:51),0
336,Shaun,15,15,(0:19),0
337,Anne,16,16,(0:31),0
338,Mark,17,17,(0:05),0
339,Shaun,13,13,(0:40),0
340,Anne,18,17,,1
341,Paul,13,13,(0:49),0
342,Shaun,24,20,,1
343,Mark,11,11,(1:03),0
344,Paul,16,16,(0:20),0
345,Mark,17,16,,1
346,Anne,17,17,(0:34),0
347,Anne,16,16,(0:28),0
348,Shaun,16,11,,1
349,Mark,11,11,(0:42),0
350,Paul,11,11,(1:03),0
351,Shaun,11,11,(0:34),0
352,Anne,13,13,(0:40),0
353,Paul,21,16,,1
354,Mark,21,14,,1
355,Paul,20,20,(0:06),0
356,Anne,18,16,,1
357,Mark,15,15,(0:52),0
358,Paul,17,17,(0:37),0
359,Shaun,20,18,,1
