sex,age,emotion,strength,FID,PID
M,29,Anger,3,1,1
M,48,Anger,4,1,2
F,58,Anger,5,1,3
F,53,Anger,4,1,4
F,30,Anger,5,1,5
F,31,Anger,4,1,6
F,44,Anger,4,1,7
F,28,Anger,4,1,8
F,58,Happiness,3,1,9
M,37,Anger,4,1,10
M,43,Anger,4,1,11
F,64,Anger,4,1,12
F,44,Anger,4,1,13
M,33,Happiness,4,1,14
M,30,Anger,4,1,15
F,51,Anger,4,1,16
F,36,Happiness,4,1,17
F,23,Happiness,4,1,18
M,30,Anger,4,1,19
F,60,Anger,4,1,20
F,37,Anger,2,1,21
M,47,Anger,4,1,22
F,20,Anger,5,1,23
F,45,Anger,1,1,24
F,41,Happiness,3,1,25
M,26,Anger,3,1,26
M,35,Anger,3,1,27
F,49,Anger,4,1,28
M,36,Anger,4,1,29
M,18,Anger,2,1,30
F,42,Happiness,2,1,31
M,22,Anger,4,1,32
F,30,Anger,2,1,33
F,60,Happiness,3,1,34
M,20,Anger,5,1,35
M,30,Anger,3,1,36
F,31,Happiness,4,1,37
M,37,Anger,4,1,38
M,31,Anger,4,1,39
F,34,Anger,5,1,40
F,37,Happiness,2,1,41
M,25,Anger,5,1,42
M,25,Fear,4,1,43
F,33,Anger,5,1,44
M,29,Happiness,4,1,45
F,51,Anger,2,1,46
F,61,Anger,4,1,47
F,38,Anger,2,1,48
F,41,Anger,4,1,49
F,30,Anger,4,1,50
F,NA,Anger,2,1,51
F,60,Happiness,3,1,52
M,44,Anger,3,1,53
F,40,Anger,4,1,54
F,52,Happiness,3,1,55
F,66,Anger,4,1,56
F,20,Anger,4,1,57
F,32,Anger,3,1,58
M,31,Anger,3,1,59
F,23,Happiness,4,1,60
M,29,Anger,5,2,1
M,48,Anger,5,2,2
F,58,Anger,5,2,3
F,53,Anger,5,2,4
F,30,Anger,5,2,5
F,31,Anger,5,2,6
F,44,Anger,4,2,7
F,28,Anger,5,2,8
F,58,Anger,4,2,9
M,37,Disgust,5,2,10
M,43,Anger,5,2,11
F,64,Anger,5,2,12
F,44,Anger,5,2,13
M,33,Anger,4,2,14
M,30,Disgust,3,2,15
F,51,Sadness,5,2,16
F,36,Anger,5,2,17
F,23,Anger,5,2,18
M,30,Disgust,5,2,19
F,60,Anger,5,2,20
F,37,Anger,5,2,21
M,47,Anger,5,2,22
F,20,Anger,5,2,23
F,45,Anger,5,2,24
F,41,Anger,5,2,25
M,26,Anger,5,2,26
M,35,Anger,5,2,27
F,49,Disgust,5,2,28
M,36,Anger,5,2,29
M,18,Disgust,3,2,30
F,42,Anger,5,2,31
M,22,Anger,5,2,32
F,30,Anger,5,2,33
F,60,Anger,5,2,34
M,20,Anger,5,2,35
M,30,Anger,4,2,36
F,31,Anger,5,2,37
M,37,Anger,5,2,38
M,31,Anger,4,2,39
F,34,Anger,5,2,40
F,37,Anger,5,2,41
M,25,Anger,5,2,42
M,25,Anger,4,2,43
F,33,Disgust,5,2,44
M,29,Disgust,3,2,45
F,51,Sadness,4,2,46
F,61,Anger,5,2,47
F,38,Anger,4,2,48
F,41,Anger,5,2,49
F,30,Anger,5,2,50
F,NA,Anger,5,2,51
F,60,Anger,5,2,52
M,44,Fear,4,2,53
F,40,Anger,5,2,54
F,52,Anger,5,2,55
F,66,Anger,5,2,56
F,20,Anger,5,2,57
F,32,Disgust,5,2,58
M,31,Anger,4,2,59
F,23,Anger,5,2,60
M,29,Anger,4,3,1
M,48,Anger,4,3,2
F,58,Disgust,5,3,3
F,53,Anger,5,3,4
F,30,Disgust,5,3,5
F,31,Anger,4,3,6
F,44,Anger,4,3,7
F,28,Disgust,5,3,8
F,58,Disgust,3,3,9
M,37,Anger,5,3,10
M,43,Anger,3,3,11
F,64,Disgust,4,3,12
F,44,Anger,5,3,13
M,33,Disgust,3,3,14
M,30,Anger,3,3,15
F,51,Sadness,4,3,16
F,36,Anger,4,3,17
F,23,Anger,5,3,18
M,30,Disgust,5,3,19
F,60,Disgust,3,3,20
F,37,Anger,4,3,21
M,47,Sadness,4,3,22
F,20,Anger,5,3,23
F,45,Sadness,5,3,24
F,41,Anger,3,3,25
M,26,Anger,4,3,26
M,35,Disgust,4,3,27
F,49,Sadness,4,3,28
M,36,Anger,5,3,29
M,18,Anger,1,3,30
F,42,Anger,4,3,31
M,22,Sadness,4,3,32
F,30,Anger,2,3,33
F,60,Anger,5,3,34
M,20,Anger,4,3,35
M,30,Anger,3,3,36
F,31,Sadness,3,3,37
M,37,Disgust,4,3,38
M,31,Disgust,4,3,39
F,34,Anger,5,3,40
F,37,Anger,3,3,41
M,25,Anger,3,3,42
M,25,Sadness,3,3,43
F,33,Anger,4,3,44
M,29,Disgust,5,3,45
F,51,Sadness,4,3,46
F,61,Sadness,3,3,47
F,38,Anger,3,3,48
F,41,Sadness,3,3,49
F,30,Disgust,3,3,50
F,NA,Anger,4,3,51
F,60,Anger,4,3,52
M,44,Anger,5,3,53
F,40,Anger,5,3,54
F,52,Anger,4,3,55
F,66,Sadness,1,3,56
F,20,Anger,5,3,57
F,32,Sadness,5,3,58
M,31,Sadness,3,3,59
F,23,Anger,3,3,60
M,29,Happiness,5,4,1
M,48,Happiness,4,4,2
F,58,Happiness,5,4,3
F,53,Happiness,5,4,4
F,30,Happiness,3,4,5
F,31,Happiness,4,4,6
F,44,Happiness,4,4,7
F,28,Happiness,5,4,8
F,58,Happiness,5,4,9
M,37,Happiness,4,4,10
M,43,Happiness,3,4,11
F,64,Happiness,3,4,12
F,44,Happiness,4,4,13
M,33,Happiness,4,4,14
M,30,Happiness,3,4,15
F,51,Happiness,4,4,16
F,36,Happiness,4,4,17
F,23,Happiness,5,4,18
M,30,Happiness,4,4,19
F,60,Happiness,3,4,20
F,37,Happiness,3,4,21
M,47,Happiness,4,4,22
F,20,Happiness,3,4,23
F,45,Happiness,4,4,24
F,41,Happiness,4,4,25
M,26,Surprise,3,4,26
M,35,Happiness,4,4,27
F,49,Happiness,4,4,28
M,36,Happiness,3,4,29
M,18,Happiness,4,4,30
F,42,Happiness,4,4,31
M,22,Happiness,3,4,32
F,30,Happiness,4,4,33
F,60,Happiness,4,4,34
M,20,Happiness,5,4,35
M,30,Happiness,3,4,36
F,31,Happiness,5,4,37
M,37,Happiness,4,4,38
M,31,Happiness,4,4,39
F,34,Happiness,5,4,40
F,37,Happiness,3,4,41
M,25,Happiness,5,4,42
M,25,Happiness,4,4,43
F,33,Happiness,4,4,44
M,29,Happiness,5,4,45
F,51,Happiness,3,4,46
F,61,Happiness,4,4,47
F,38,Happiness,3,4,48
F,41,Happiness,4,4,49
F,30,Happiness,4,4,50
F,NA,Happiness,4,4,51
F,60,Happiness,4,4,52
M,44,Happiness,4,4,53
F,40,Happiness,4,4,54
F,52,Happiness,4,4,55
F,66,Happiness,5,4,56
F,20,Happiness,4,4,57
F,32,Happiness,5,4,58
M,31,Happiness,2,4,59
F,23,Happiness,4,4,60
M,29,Anger,1,5,1
M,48,Anger,2,5,2
F,58,Anger,5,5,3
F,53,Sadness,3,5,4
F,30,Anger,5,5,5
F,31,Happiness,3,5,6
F,44,Anger,3,5,7
F,28,Anger,3,5,8
F,58,Anger,4,5,9
M,37,Disgust,3,5,10
M,43,Anger,2,5,11
F,64,Anger,3,5,12
F,44,Happiness,3,5,13
M,33,Happiness,3,5,14
M,30,Happiness,2,5,15
F,51,Happiness,2,5,16
F,36,Happiness,3,5,17
F,23,Happiness,4,5,18
M,30,Anger,3,5,19
F,60,Anger,2,5,20
F,37,Fear,4,5,21
M,47,Anger,3,5,22
F,20,Anger,2,5,23
F,45,Anger,2,5,24
F,41,Happiness,2,5,25
M,26,Anger,3,5,26
M,35,Anger,2,5,27
F,49,Anger,5,5,28
M,36,Happiness,2,5,29
M,18,Happiness,2,5,30
F,42,Sadness,4,5,31
M,22,Surprise,2,5,32
F,30,Happiness,3,5,33
F,60,Anger,5,5,34
M,20,Happiness,3,5,35
M,30,Anger,2,5,36
F,31,Anger,2,5,37
M,37,Anger,4,5,38
M,31,Happiness,3,5,39
F,34,Happiness,5,5,40
F,37,Happiness,2,5,41
M,25,Anger,2,5,42
M,25,Happiness,3,5,43
F,33,Anger,3,5,44
M,29,Happiness,3,5,45
F,51,Happiness,2,5,46
F,61,Happiness,2,5,47
F,38,Anger,2,5,48
F,41,Anger,4,5,49
F,30,Happiness,3,5,50
F,NA,Anger,2,5,51
F,60,Anger,2,5,52
M,44,Anger,4,5,53
F,40,Anger,4,5,54
F,52,Anger,3,5,55
F,66,Anger,2,5,56
F,20,Anger,4,5,57
F,32,Happiness,2,5,58
M,31,Anger,2,5,59
F,23,Happiness,3,5,60
M,29,Surprise,2,6,1
M,48,Happiness,3,6,2
F,58,Anger,5,6,3
F,53,Disgust,3,6,4
F,30,Anger,5,6,5
F,31,Anger,3,6,6
F,44,Anger,3,6,7
F,28,Disgust,4,6,8
F,58,Happiness,2,6,9
M,37,Anger,4,6,10
M,43,Happiness,3,6,11
F,64,Happiness,2,6,12
F,44,Fear,3,6,13
M,33,Happiness,5,6,14
M,30,Anger,2,6,15
F,51,Happiness,3,6,16
F,36,Happiness,5,6,17
F,23,Happiness,3,6,18
M,30,Fear,3,6,19
F,60,Anger,5,6,20
F,37,Anger,3,6,21
M,47,Anger,4,6,22
F,20,Happiness,3,6,23
F,45,Fear,5,6,24
F,41,Anger,3,6,25
M,26,Happiness,4,6,26
M,35,Surprise,2,6,27
F,49,Anger,3,6,28
M,36,Disgust,3,6,29
M,18,Happiness,3,6,30
F,42,Fear,4,6,31
M,22,Happiness,4,6,32
F,30,Happiness,5,6,33
F,60,Anger,4,6,34
